_id__$oid	id	code	name	short_name	campus	lat	lng	address__street	address__city	address__province	address__country	address__postal
56af1083a6b3f10a7e86ccb1	77	SC	Sussex Court	Sussex Court	UTSG	43.66484	-79.40089	21  Sussex Avenue	Toronto	ON	Canada	M5S 1J6
56af1083a6b3f10a7e86ccb2	200L	PO	Portable 103	Portable 103	UTSC	43.78399	-79.18871		Scarborough	ON	Canada	
56af1083a6b3f10a7e86ccb3	323Y	XX323Y	MaGrath Valley Res - Block Y (Phase V)	MaGrath-Y	UTM	43.5462	-79.66178	1499 The Collegeway	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86ccb4	141	MF	"Devonshire Place-100 (Demolished Feb, 2012)"	Devonshire-100	UTSG	0	0	100  Devonshire Place	Toronto	ON	Canada	M5S 2C9
56af1083a6b3f10a7e86ccb5	41	VP	Varsity Pavilion	Vars Pavilion	UTSG	43.66643	-79.39643	299 Bloor Street West	Toronto	ON	Canada	
56af1083a6b3f10a7e86ccb6	193	ED	Edward Street-123	Edward-123	UTSG	0	0	123 Edward Street	Toronto	ON	Canada	
56af1083a6b3f10a7e86ccb7	010A	CH	Convocation Hall	Con Hall	UTSG	43.66077	-79.39539	31  King's College Circle	Toronto	ON	Canada	M5S 1A1
56af1083a6b3f10a7e86ccb8	332	RA	"Recreation, Athletics & Wellness Centre"	RAWC	UTM	43.5482	-79.66089	1825 Outer Circle	Mississauga	ON	Canada	L5L 1C6
56af1083a6b3f10a7e86ccb9	14	FE	Bloor Street West-371	Bloor W-371	UTSG	43.66668	-79.40223	371  Bloor Street West	Toronto	ON	Canada	M5S 2R7
56af1083a6b3f10a7e86ccba	68	BN	Clara Benson Building	Clara Benson	UTSG	43.66294	-79.4002	320  Huron Street	Toronto	ON	Canada	M5S 3J7
56af1083a6b3f10a7e86ccbb	323X	XX323X	MaGrath Valley Res - Block X (Phase V)	MaGrath-X	UTM	43.54588	-79.66222	1499 The Collegeway	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86ccbc	791	XX791	Charles St. West-35	CharlesW-35	UTSG	43.6681	-79.38765	35  Charles St. West	Toronto	ON	Canada	M4Y 1R6
56af1083a6b3f10a7e86ccbd	7	MB	Lassonde Mining Building	Mining	UTSG	43.6595	-79.39339	170  College Street	Toronto	ON	Canada	M5S 3E3
56af1083a6b3f10a7e86ccbe	423	MN	Maritain House	Maritain	UTSG	43.66564	-79.39002	6  Elmsley Place	Toronto	ON	Canada	
56af1083a6b3f10a7e86ccbf	323W	XX323W	MaGrath Valley Res - Block W (Phase V)	MaGrath-W	UTM	43.54574	-79.66162	1499 The Collegeway	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86ccc0	317	XX317	Paleomagnetism Laboratory	Paleomag Lab	UTM	43.55381	-79.66586	3275 Principal's Road	Mississauga	ON	Canada	L5L 1C6
56af1083a6b3f10a7e86ccc1	200P	PO	Portable 105	Portable 105	UTSC	43.7842	-79.18885		Scarborough	ON	Canada	
56af1083a6b3f10a7e86ccc2	600	TC	Trinity College	Trinity Coll	UTSG	43.66514	-79.39556	6  Hoskin Avenue	Toronto	ON	Canada	M5S 1H8
56af1083a6b3f10a7e86ccc3	89	MK	Munk School of Global Affairs at the Observatory	Munk-Observ	UTSG	43.66747	-79.39852	315  Bloor Street West	Toronto	ON	Canada	M5S 1A3
56af1083a6b3f10a7e86ccc4	513	SN	Stephenson House	Stephenson	UTSG	43.66783	-79.3899	63  Charles Street West	Toronto	ON	Canada	M5S 1K5
56af1083a6b3f10a7e86ccc5	675	WY	Wycliffe College	Wycliffe	UTSG	43.66453	-79.39507	5  Hoskin Avenue	Toronto	ON	Canada	M5S 1H7
56af1083a6b3f10a7e86ccc6	504	BW	Burwash Hall	Burwash Hall	UTSG	43.66744	-79.39179	89  Charles Street West	Toronto	ON	Canada	M5S 1K6
56af1083a6b3f10a7e86ccc7	62	ES	Earth Sciences Centre	Earth Sci	UTSG	43.6611	-79.3993	33  Willcocks Street	Toronto	ON	Canada	M5S 3B3
56af1083a6b3f10a7e86ccc8	316	DW	Erindale Studio Theatre	Erindale Thtr	UTM	43.54993	-79.66631	1515 Outer Circle	Mississauga	ON	Canada	L5L 1C6
56af1083a6b3f10a7e86ccc9	54	SP	Spadina Crescent-1 (Under Renovation)	Spadina C-1	UTSG	43.65946	-79.40062	1  Spadina Crescent	Toronto	ON	Canada	M5S 2J5
56af1083a6b3f10a7e86ccca	210F	XX210F	Block F (Student Townhouse Res-Phase II)	Block F-Pse II	UTSC	43.78268	-79.18452	1295 Military Trail	Scarborough	ON	Canada	M1C 3A8
56af1083a6b3f10a7e86cccb	314	KN	Kaneff Centre	Kaneff	UTM	43.54848	-79.66332	1833 Inner Circle	Mississauga	ON	Canada	L5L 1C6
